Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1789387362.138	     1.145	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/appsmith 4 4 docs/reports/bitnami-runs/bitnami-charts_1789387262
1	:	1789387362.124	     1.180	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/airflow 1 1 docs/reports/bitnami-runs/bitnami-charts_1789387262
6	:	1789387362.161	     1.154	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/argo-workflows 6 6 docs/reports/bitnami-runs/bitnami-charts_1789387262
2	:	1789387362.127	     1.195	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/apache 2 2 docs/reports/bitnami-runs/bitnami-charts_1789387262
3	:	1789387362.132	     1.200	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/apisix 3 3 docs/reports/bitnami-runs/bitnami-charts_1789387262
5	:	1789387362.144	     1.194	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/argo-cd 5 5 docs/reports/bitnami-runs/bitnami-charts_1789387262
8	:	1789387363.313	     0.703	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/cadvisor 8 1 docs/reports/bitnami-runs/bitnami-charts_1789387262
10	:	1789387363.332	     0.790	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/cert-manager 10 2 docs/reports/bitnami-runs/bitnami-charts_1789387262
12	:	1789387363.343	     0.850	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/cilium 12 5 docs/reports/bitnami-runs/bitnami-charts_1789387262
7	:	1789387363.305	     0.901	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/aspnet-core 7 4 docs/reports/bitnami-runs/bitnami-charts_1789387262
